JOB_ID,BLS Job Title,LONG_OCC_CODE,YEAR,STATE,CITY,MSA_ID,CANON_MAXIMUM_DEGREE,CANON_MINIMUM_DEGREE,CANON_OTHER_DEGREES,CANON_PREFERRED_DEGREES,CANON_REQUIRED_DEGREES,CIP_CODE,STANDARD_MAJOR,MAX_EXPERIENCE,MIN_EXPERIENCE,MAX_ANNUAL_SALARY,MAX_HOURLY_SALARY,MIN_ANNUAL_SALARY,MIN_HOURLY_SALARY,YEARS_OF_EXPERIENCE,CANON_JOB_HOURS
38472841335,Recruiter (General),13-1071.91,2019,WA,Seattle,42660,Bachelor's,Higher Secondary Certificate,,,Bachelor's|Higher Secondary Certificate,,,,2.0,,,,,2+ years|2 years,fulltime
38474073426,Estimator,13-1051.00,2019,AZ,Chandler,38060,,,,,,,,,,,,,,,
38474083740,Auto Body Technician,49-3021.00,2019,AZ,Chandler,38060,,,,,,,,,,,,,,,
38709992297,General Manager,11-1021.92,2020,FL,Tampa,45300,Bachelor's,Higher Secondary Certificate,,Bachelor's,Higher Secondary Certificate,,,5.0,3.0,,,,,3-5 years,
38709918452,Maintenance Helper / Assistant,49-9098.00,2020,TX,San Antonio,41700,,,,,,,,,,,,,,,
38709946390,General Manager,11-1021.92,2020,CA,Dublin,41860,Bachelor's,Higher Secondary Certificate,,Bachelor's,Higher Secondary Certificate,,,5.0,3.0,,,,,3-5 years,
38709947747,Auto Body Technician,49-3021.00,2020,CA,Mountain View,41940,,,,,,,,,,,,,,,
38477189379,Auto Body Technician,49-3021.00,2019,NV,Henderson,29820,,,,,,,,,,60000.0,28.85,44000.0,21.15,2 years,fulltime
38714233901,Maintenance Helper / Assistant,49-9098.00,2020,GA,Marietta,12060,,,,,,,,,,,,,,,
38714234989,Auto Body Technician,49-3021.00,2020,FL,Tampa,45300,,,,,,,,,,,,,,,
38713580400,Maintenance Helper / Assistant,49-9098.00,2020,PA,Malvern,37980,,,,,,,,,,,,,,,
38713580614,Maintenance Helper / Assistant,49-9098.00,2020,TX,Richardson,19100,,,,,,,,,,,,,,,
38720574509,Automotive Service Technician / Mechanic,49-3023.00,2020,TX,Arlington,19100,,,,,,,,,,,,,,,
38720577681,Maintenance Helper / Assistant,49-9098.00,2020,TX,Irving,19100,,,,,,,,,,,,,,,
38536361414,Sales Manager,11-2022.00,2019,TX,Richardson,19100,,,,,,,,,,100000.0,48.08,75000.0,36.06,,
38536316917,Production Plant Manager,51-1011.92,2019,TX,Plano,19100,,,,,,,,,,74000.0,35.58,44000.0,21.15,,
38501127611,Detailer,53-7061.00,2019,MI,Royal Oak,19820,,,,,,,,,,24960.0,12.0,20800.0,10.0,,fulltime
38538984588,Administrative Clerk / Coordinator,43-6014.00,2019,TX,Plano,19100,,,,,,,,,,35360.0,17.0,24960.0,12.0,,
38731775184,Auto Body Technician,49-3021.00,2020,CO,Aurora,19740,,,,,,,,,,,,,,,
38731936074,Janitor / Cleaner,37-2011.00,2020,TX,Mesquite,19100,,,,,,,,,,,,,,,
38732225958,Automotive Service Technician / Mechanic,49-3023.00,2020,TX,Fort Worth,19100,,,,,,,,,,,,,,,
38732238048,Automotive Service Technician / Mechanic,49-3023.00,2020,TX,Fort Worth,19100,,,,,,,,,,,,,,,
38732353150,Estimator,13-1051.00,2020,TX,Richardson,19100,,,,,,,,,,,,,,2 to 3 years,
38736054659,Maintenance Helper / Assistant,49-9098.00,2020,PA,West Chester,37980,,,,,,,,,,,,,,,
38735886264,Maintenance Helper / Assistant,49-9098.00,2020,GA,Alpharetta,12060,,,,,,,,,,,,,,2 to 3 years,
38735894010,Auto Body Technician,49-3021.00,2020,TX,Spring Branch,41700,,,,,,,,,,,,,,,
38676824178,Auto Damage Appraiser,13-1032.00,2019,TX,The Colony,19100,,,,,,,,,,,,,,,
38744692725,Auto Body Technician,49-3021.00,2020,PA,Pittsburgh,38300,,,,,,,,,,47000.0,22.6,36000.0,17.31,,
38736876560,Retail Sales Associate (General),41-2031.00,2020,TX,San Antonio,41700,,,,,,,,,,,,,,,
38736876800,Janitor / Cleaner,37-2011.00,2020,TX,San Antonio,41700,,,,,,,,,,,,,,,
38740383653,Assistant General Manager,11-1021.92,2020,MD,Glen Burnie,12580,,,,,,,,,,56000.0,26.92,40000.0,19.23,,
